year,overflow_type,municipality,wet_dry_event,npdes,date_discovered,time_discovered,days,hours,minutes,location,pipe_manhole_id,zip_code,latitude,collection_system,quan_gals_gross,quan_gals_net,cause,health_dept_notified,how_heatlh_depart_was_notified,corrective_action,watershed,receiving_waters,county,comment,penalty_collected,penalty_collected_comments,long,watershed2,quan_gals_gross2,geometry
2018,SSO,City of Baltimore Dept. of Public Works,Dry,NA,3/10/2018,6:30:00 PM,0,1,33,212 N. Streeper St.,Pipe,21224,39.295501,City of Baltimore Dept. of Public Works,186,186,"Rags, grease, trash/debris, sand, gravel, rocks, pipe break.",,NA,Relieved 8 inch mainline choke with 200 ft. of pressure hose.  Performed mainline CCTV inspection to determine possible structural damage.,Baltimore Harbor,,Baltimore City,NA,NA,NA,-76.577303,Baltimore Harbor,186,"c(1431962.17131619, 593487.675055367)"
2018,SSO,City of Baltimore Dept. of Public Works,Dry,NA,3/12/2018,11:20:00 AM,0,2,30,600 S. Martin Luther King Jr. Blvd.,Manhole,21201,39.28589,City of Baltimore Dept. of Public Works,750,750,"Rags, grease.",,NA,Relieved mainline choke with 250 ft. of pressure hose.  Performed mainline CCTV inspection.,Jones Falls,,Baltimore City,NA,NA,NA,-76.627752,Jones Falls,750,"c(1417698.79656482, 589924.897332767)"
2018,SSO,City of Baltimore Dept. of Public Works,Dry,NA,3/14/2018,1:35:00 PM,0,2,7,5417 Reisterstown Rd.,Manhole,21215,39.347266,City of Baltimore Dept. of Public Works,127,127,"Rags, grease.",,NA,Relieved 8 inch mainline choke with 200 ft. of pressure hose.  Performed mainline CCTV inspection.,Gwynns Falls,Gwynns Falls,Baltimore City,NA,NA,NA,-76.688864,Gwynns Falls,127,"c(1400324.8161723, 612215.348452717)"
2018,SSO,City of Baltimore Dept. of Public Works,Dry,NA,3/15/2018,12:30:00 PM,0,2,19,3400 Reisterstown Rd.,Manhole,21215,39.32651,City of Baltimore Dept. of Public Works,695,695,"Rags, trash/debris, sand, gravel, rocks.",,NA,Relieved 8 inch mainline choke with 275 ft. of pressure hose.  Performed mainline CCTV inspection.,Gwynns Falls,,Baltimore City,NA,NA,NA,-76.658497,Gwynns Falls,695,"c(1408941.06411162, 604685.977813046)"
2018,SSO,City of Baltimore Dept. of Public Works,Dry,NA,3/16/2018,2:25:00 PM,0,8,20,5015 Falls Road Ter,Manhole,21210,39.354766,City of Baltimore Dept. of Public Works,1000,1000,"Rags, roots, trash/debris, sand, gravel, rocks.",,NA,Relieved mainline choke with 300 ft. of pressure hose.  Performed mainline CCTV inspection.,Jones Falls,,Baltimore City,NA,NA,NA,-76.643278,Jones Falls,"1,000","c(1413206.12627546, 614994.282580125)"
2018,SSO,City of Baltimore Dept. of Public Works,Dry,NA,3/18/2018,6:22:00 AM,0,4,50,6011 Falls Rd.,Manhole,21209,39.371535,City of Baltimore Dept. of Public Works,580,580,"Rags, grease, trash/debris, sand, gravel, rocks.",,NA,Relieved mainline and house connection chokes with 160 ft. of pressure hose.  Performed CCTV inspections.,Jones Falls,,Baltimore City,NA,NA,NA,-76.649198,Jones Falls,580,"c(1411508.62298072, 621095.706624321)"
2018,SSO,City of Baltimore Dept. of Public Works,Dry,NA,3/19/2018,3:58:00 PM,0,2,2,Evesham Ave. & The Alameda,Manhole,21239,39.361579,City of Baltimore Dept. of Public Works,484,484,"Rags, trash/debris, sand, gravel, rocks.",,NA,Relieved mainline choke with 300 ft. of pressure hose.  Performed mainline CCTV inspection.,Back River,,Baltimore City,NA,NA,NA,-76.594118,Back River,484,"c(1427096.32635493, 617533.891902821)"
2018,SSO,City of Baltimore Dept. of Public Works,Dry,NA,3/19/2018,8:04:00 PM,0,3,16,1149 Covington St.,Clean out,21230,39.277052,City of Baltimore Dept. of Public Works,392,392,"Rags, roots, rain.",,NA,Relieved mainline and house connection chokes.  Performed CCTV inspections.,Baltimore Harbor,,Baltimore City,NA,NA,NA,-76.606783,Baltimore Harbor,392,"c(1423647.9397053, 586730.73092349)"
2018,SSO,City of Baltimore Dept. of Public Works,Wet,NA,3/21/2018,8:40:00 PM,0,1,4,2100 E. 20th St.,Manhole,21213,39.313281,City of Baltimore Dept. of Public Works,320,320,"Rags, grease, trash/debris, sand, gravel, rocks.",,NA,Relieved 8 inch mainline choke with 250 ft. of pressure hose.  Performed mainline CCTV inspection.,Baltimore Harbor,,Baltimore City,NA,NA,NA,-76.588703,Baltimore Harbor,320,"c(1428706.66510372, 599948.957047217)"
2018,SSO,City of Baltimore Dept. of Public Works,Wet,NA,3/22/2018,6:50:00 PM,0,3,52,W. Cold Spring Ln. & Keswick Rd.,Manhole,21210,39.344702,City of Baltimore Dept. of Public Works,464,464,"Rags, grease, trash/debris, sand, gravel, rocks.",,NA,Relieved 8 inch choke with 300 ft. of pressure hose.  Performed mainline CCTV inspection.,Jones Falls,,Baltimore City,NA,NA,NA,-76.629839,Jones Falls,464,"c(1417021.21036643, 611343.737202678)"
